data,classifier,criterion,percentageLabeled,thresholdOrKBest,iteration,LabeledInitial,UnLabeledInitial,LabeledFinal,UnLabeledFinal,percentageLabeledFinal,accuracy,AUC,PR,F1score
heart,ST-LR-Spark,threshold,0.6,0.9,5,124,77,175,27,0.649350649,0.80636646,0.803128123,0.754693008,0.7786782
heart,ST-LR-Spark,threshold,0.6,0.95,5,124,77,165,37,0.519480519,0.813561077,0.810365509,0.762929442,0.786428571
heart,ST-RF-Spark,threshold,0.05,0.7,4,7,195,193,9,0.953846154,0.640173395,0.630384175,0.60105597,0.464964784
heart,ST-RF-Spark,threshold,0.05,0.8,5,7,195,144,58,0.702564103,0.6524353,0.636388311,0.617599346,0.460075085
heart,ST-RF-Spark,threshold,0.05,0.9,5,7,195,44,158,0.18974359,0.676006729,0.660155259,0.614534411,0.49671081
heart,ST-RF-Spark,threshold,0.05,0.95,5,7,195,18,184,0.056410256,0.68070911,0.66692586,0.623280109,0.502953024
heart,ST-RF-Spark,threshold,0.15,0.7,5,32,170,181,21,0.876470588,0.770838509,0.768693554,0.708811563,0.741396569
heart,ST-RF-Spark,threshold,0.15,0.8,5,32,170,161,40,0.764705882,0.777274845,0.774269396,0.729524383,0.740723742
heart,ST-RF-Spark,threshold,0.15,0.9,5,32,170,101,101,0.405882353,0.763778468,0.759919445,0.702207784,0.729629657
heart,ST-RF-Spark,threshold,0.15,0.95,5,32,170,61,141,0.170588235,0.777937371,0.775987296,0.719651449,0.750374486
heart,ST-RF-Spark,threshold,0.3,0.7,5,64,138,185,17,0.876811594,0.757631988,0.759178282,0.68823797,0.732752805
heart,ST-RF-Spark,threshold,0.3,0.8,5,64,138,160,41,0.702898551,0.749707557,0.754218855,0.677762442,0.729909359
heart,ST-RF-Spark,threshold,0.3,0.9,5,64,138,121,80,0.420289855,0.782215321,0.780469599,0.725041626,0.752262887
heart,ST-RF-Spark,threshold,0.3,0.95,5,64,138,95,107,0.224637681,0.801374224,0.800727867,0.743316657,0.776849648
